bapski;týkajúci sa žien,
bapsko;žena
bara;pult v obchode
bara;pult - predajný
barab;robotník na železnic
baraber;robotník,
barabizňa;haraburda
baracka;marhuľa
baracki;marhule
barackovi;marhuľový
barackovica;domáci alkohol
baracky;marhule
barak;drevebá ubytovňa
baran;samec ovce
barańa hlava;druh huby
barańačka;druh neskorých jabĺk
barańak;nadávka,
baraňar;z bertotoviec
barańare;obyvatelia bertotovi
barańčarka;baranica
barančeček;baránok, mel.
barančok;baránok
baraneček;baránok, mel.
baranek;malý baran,
barańi;majúci s baranom,
barani jazik;skorocel
barańic;mračiť sa , zazerať,
baranica;zimná čiapka z baran
barańica;porývka hlavy,
barańina;baranie mäso,
baranki;druh mračien
barankovi;kožušinový,
barankovy;perziánový
barańufka;druh čiapky,
barańuvka;druh čiapky
baratka;marhuľa,
barb;hrb, hrbolec,
barbi;barborka
barbic;farbiť,
barbički;pastelky
barbír;ránhojič
barbisti;farebný
barboraš;basista
barchecik;kus hrubšej tkaniny,
barches;pecivo
barchet;bavlnená látka
barchetka;čiapka z barchetu
barchetovi;barchetový,
barchto;bar(s)kto, hocikto,
barco;súčasť záprahu,
bardakeri;hociktorý,
bardar;brdár,
bardijov;bardejov
bardijuf;bardejov
bardiovienses;mešťania bardejova,
bardo;popis
bárdo;trstinové zariadenie
bardo;brdo
bardy;brda
bardyjov;bardejov
bardzuško;škripec na krosnách
barevni;farebný
barhes;upleteny bochnik
bari;mary
barilka;demižón
barilkaa;súdok
barina;močiar
barišňa;žena
barjaki;hocijaký
barla;podpora,
barlangovac;hľadať
barloch;brloh
barloh;brloh
barlovik;nádoba na umývanie
barložek;brlôžtek,
barna krava;jalovica
barnastý;tmavohnedý
barnave;tmavohnedé,
barnavi;hnedý
baronesa;namyslená žena
baropeti;ploché nohy
bars;veľmi
bars kedy;hocikedy
bars malki;maličký,
bars malko;primalo
bars malo;primalo
bars spaňety;popanštený
bars šumňe;moc pekne
bars žľe;veľmi zle
bársbisom;veľmi by som
barsc ce birujem;ľúbim Ťa
barsceplo;veľmi teplo
barschto;hocikto
barsco;hocičo
barsčeho;hocičoho
barsdobre;veľmi dobré
barsdze;hoci kde
barsjak;hocijak
barsjakaško;hocijako
barsjaki;hociaký
barsjaky;hocijaký
barskedi;hocikedy
barskeĺo;hocikoĺko
barsmalo;veľmi málo
barson;zamat
barsplane;veľmi zlé
barssmutno;veľmi smutne
barsškarede;veľmi škaredé
barsšmišno;veľmi smiešne
barsšumne;veľmi pekné
barsveĺo;primnoho,
barszna;veľmi vie
barsznachto;veľmi vie kto
barsznaco;veľmi vie čo
barsznadze;veľmi vie kde
barsžimno;veľmi chladno
bars~ce~birujem;ľúbim ťa
baršan;zamat
baršaň;menčester-látky
baršaň;zamat
barśan;zamat
barśanka;zamatová śatka,
baršaňove;menčestrové
baršanovenohavice;menčestrové nohavice
baršaňovi;zamatový
barśańovi;zamatový,
baršaňovo;menčestrovo
barśnec;práchnivieť,
barśńec;práchnivieť
baršńic;práchnivieť
barśńica;archangelika
barśnivi;práchnivý
barśńivina;práchnivina,
baršńivina;práchnivina
baršoň;zamat
baršoń;menčester
barśoń;manchester
barśońka;zamatová šatka
baršońovi;manchestrový
barśońovi;zamatový,
baršońovo;menčestové
baršuňovi;menčestrový(textil)
bartožina;nečistota na tele,
bartyhlik;podbradník
barva;farba
barvenek;zimozeleň,
barveni;farbený,
barvi;farby
barvic;maľovať
barvički;pastelky
barviksoš;pavuk
barvinek;zimozeleň menší
barvinočok;zimozeleň
barvinok;popínavá rastlina
barvošľepe;farboslepí
barvošlepi;farboslepý
barvošľepy;nerozosnať farby
barz;veľmi
barz;veľmi, príliš,
barz ce;veľmi ťa
barz žimno;moc chladno
barzbrudny;veľmi špinavý
barzchto;hocikto
barzco;hocičo
barzčeho;hocičoho
barzčeško;veľmi ťažko
barzjak;hocijak
barzjaki;hocijaký
barzjako;hocijako
barzkedi;hocikedy
barzkeľo;hocikoľko
barzľehko;veľmi ľahko
barzo;veľmi
barzs;veľmi
barzspaněti;popanštený
barzšumne;veľmi pekne
